UF;MUNICIPIO;POPULACAO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
SC;DONA EMMA;3912;2386;1285;0;125;8;186;43;0;0;18;599;67;11;0;26;11;2;1;0;1;0;3
SC;DOUTOR PEDRINHO;3828;2444;1213;0;134;18;235;53;0;3;6;586;105;5;0;53;23;0;1;0;3;0;6
SC;ENTRE RIOS;3118;1283;670;0;34;0;79;14;0;0;5;427;32;22;0;0;0;0;0;0;0;0;0
SC;ERMO;2081;1590;703;0;79;12;114;18;0;0;3;511;97;7;0;17;13;0;0;0;11;1;4
SC;ERVAL VELHO;4448;2538;1362;0;109;18;236;56;0;0;4;563;110;24;0;26;24;0;0;0;1;1;4
SC;FAXINAL DOS GUEDES;10797;6323;3604;0;408;130;598;153;1;1;23;876;240;32;0;66;161;1;1;0;0;2;26
SC;FLOR DO SERTAO;1605;877;428;0;22;10;63;20;0;0;8;269;18;16;0;6;17;0;0;0;0;0;0
SC;FLORIANOPOLIS;453285;305028;206845;0;3504;290;15608;15654;8;110;890;41553;7799;2000;0;5050;367;13;148;1;415;68;4705
SC;FORMOSA DO SUL;2603;1384;697;0;73;29;127;21;0;0;7;324;37;10;0;9;50;0;0;0;0;0;0
SC;FORQUILHINHA;24256;16468;8666;0;550;119;994;231;0;3;17;4649;759;39;0;245;145;3;2;0;6;2;38
SC;FRAIBURGO;35618;18791;12364;0;828;172;1550;487;2;0;45;2210;511;200;0;132;187;15;3;0;2;7;76
SC;FREI ROGERIO;2354;1377;683;0;82;0;189;21;0;0;11;358;16;14;0;0;0;0;0;0;0;0;3
SC;GALVAO;3379;1684;975;0;92;20;195;27;0;0;4;289;23;20;0;6;31;0;0;0;0;1;1
SC;GAROPABA;20024;11461;5924;0;253;29;829;411;0;4;27;2658;900;37;2;180;28;4;27;0;3;4;141
SC;GARUVA;16081;7940;4369;0;516;156;567;206;0;3;36;1447;236;29;0;159;171;0;2;0;13;1;29
SC;GASPAR;62618;39083;22109;0;1298;299;3092;1137;0;10;69;7559;2156;86;1;527;333;1;8;1;79;3;315
SC;GOVERNADOR CELSO RAMOS;13655;6344;3418;0;153;14;399;154;0;1;21;1356;619;16;0;124;36;0;0;0;5;0;28
SC;GRAO PARA;6418;4203;2378;0;265;10;365;87;0;0;10;891;128;12;0;16;12;0;0;0;3;1;25
SC;GRAVATAL;11064;7332;3679;0;294;71;398;147;0;4;14;1956;520;20;0;90;86;4;2;0;7;1;39
SC;GUABIRUBA;20474;14150;7600;0;328;43;1020;422;0;6;15;3016;1412;19;0;70;59;0;1;0;6;1;132
SC;GUARACIABA;10492;6079;3674;0;233;102;623;143;0;0;15;945;130;41;0;28;128;1;0;0;0;0;16
SC;GUARAMIRIM;38851;24781;13798;0;1063;336;1608;554;0;12;31;4941;1283;24;0;420;577;5;7;0;19;1;102
