UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AL;LIMOEIRO DE ANADIA;3340;770;0;122;4;315;32;1;0;23;1551;432;47;0;33;10;0;0;0;0;0;0
AL;MACEIO;275589;165156;0;7013;1031;18878;10563;18;44;1097;54513;3476;1899;1;5911;2726;18;20;0;12;98;3115
AL;MAJOR ISIDORO;2208;611;0;83;15;143;33;0;0;26;1123;84;24;0;23;35;0;0;0;0;0;8
AL;MAR VERMELHO;687;164;0;11;0;37;3;0;0;2;427;29;9;0;4;1;0;0;0;0;0;0
AL;MARAGOGI;2257;976;0;66;0;130;111;0;0;95;701;89;39;0;33;5;0;0;0;0;2;10
AL;MARAVILHA;1520;397;0;35;0;105;7;0;0;42;863;32;8;0;22;8;0;1;0;0;0;0
AL;MARECHAL DEODORO;7255;3779;0;273;16;533;222;0;0;76;1709;101;127;0;293;61;0;0;0;0;7;58
AL;MARIBONDO;1807;751;0;63;1;111;39;0;0;18;671;62;13;0;56;18;0;0;0;0;0;4
AL;MATA GRANDE;2989;520;0;55;2;439;26;0;0;34;1775;98;12;0;19;7;0;0;0;0;0;2
AL;MATRIZ DE CAMARAGIBE;2765;1092;0;136;0;196;93;0;0;29;915;39;123;0;101;34;0;0;0;0;1;6
AL;MESSIAS;1736;744;0;64;10;107;67;0;0;34;567;36;75;0;20;6;0;0;0;0;0;6
AL;MINADOR DO NEGRAO;933;220;0;50;0;69;8;0;0;14;543;10;8;0;9;2;0;0;0;0;0;0
AL;MONTEIROPOLIS;712;165;0;12;0;65;6;0;0;3;427;27;4;0;2;0;0;0;0;0;0;1
AL;MURICI;2809;926;0;107;4;147;49;0;0;24;1187;169;104;0;67;15;0;0;0;0;0;10
AL;NOVO LINO;1140;558;0;46;0;64;66;0;0;23;289;9;51;0;30;4;0;0;0;0;0;0
AL;OLHO D'AGUA DAS FLORES;3790;1132;0;107;4;332;58;0;0;85;1777;199;21;0;58;13;0;0;0;0;0;4
AL;OLHO D'AGUA DO CASADO;1110;330;0;31;0;85;8;0;0;16;605;25;7;0;2;1;0;0;0;0;0;0
AL;OLHO D'AGUA GRANDE;648;146;0;13;0;19;5;0;0;1;421;29;13;0;0;1;0;0;0;0;0;0
AL;OLIVENCA;1810;482;0;53;0;122;13;0;0;22;1046;46;9;0;12;4;0;0;0;0;0;1
AL;OURO BRANCO;1807;483;0;60;0;104;30;0;0;32;1004;40;18;0;25;11;0;0;0;0;0;0
AL;PALESTINA;327;96;0;9;1;36;8;0;0;6;153;11;5;0;2;0;0;0;0;0;0;0
