UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PE;BELO JARDIM;22399;7268;0;778;80;1415;432;0;11;361;10008;1595;86;0;153;158;0;0;0;0;5;49
PE;BETANIA;2344;421;0;52;0;104;15;0;0;3;1688;38;9;0;11;1;0;0;0;0;1;1
PE;BEZERROS;19601;6633;0;851;66;1072;354;1;3;127;8359;1757;80;0;139;106;0;1;0;0;13;39
PE;BODOCO;7605;1289;0;238;4;527;38;0;1;4;5325;126;20;0;23;5;0;0;0;0;0;5
PE;BOM CONSELHO;10330;2747;0;305;13;770;103;1;0;66;5407;487;39;0;164;207;0;0;0;0;6;15
PE;BOM JARDIM;7950;3350;0;240;3;439;260;0;0;319;3091;151;53;0;34;5;0;0;0;0;0;5
PE;BONITO;7036;2811;0;384;10;570;119;0;1;84;2696;238;39;0;49;17;0;0;0;0;0;18
PE;BREJAO;1408;387;0;66;0;112;13;0;0;17;729;56;12;0;9;4;0;0;0;0;0;3
PE;BREJINHO;1407;381;0;59;2;131;10;0;0;14;747;39;9;0;13;1;0;0;0;0;0;1
PE;BREJO DA MADRE DE DEUS;10665;2181;0;302;3;1111;99;0;1;456;5583;802;19;0;82;12;1;0;0;0;2;11
PE;BUENOS AIRES;2149;789;0;63;4;146;42;0;0;11;1031;30;19;0;9;0;0;0;0;0;1;4
PE;BUIQUE;6417;2087;0;267;12;590;66;0;0;86;3122;78;48;0;29;21;0;0;0;0;2;9
PE;CABO DE SANTO AGOSTINHO;44623;24248;0;1443;466;2107;1467;1;5;284;12009;538;559;0;613;716;0;0;0;10;17;140
PE;CABROBO;7956;2047;0;252;8;432;58;0;4;13;4750;264;33;0;52;33;0;0;0;0;1;9
PE;CACHOEIRINHA;5287;1676;0;174;7;378;73;0;1;71;2170;613;14;0;70;25;0;0;0;0;1;14
PE;CAETES;3959;1523;0;268;11;292;36;0;0;57;1631;77;33;0;11;13;0;0;0;0;1;6
PE;CALCADO;2441;712;0;66;0;146;20;0;0;10;1219;228;26;0;6;8;0;0;0;0;0;0
PE;CALUMBI;1378;364;0;54;2;90;8;0;0;7;799;38;7;0;7;0;0;0;0;0;0;2
